origination_name	Qid	unittitle	bioghist	Column 4	Column 5	Column 6	Column 7	Column 8	Column 9	Column 10	Column 11	Column 12	Column 13	Column 14	Column 15	Column 16	Column 17	Column 18	Column 19	Column 20	Column 21
Moving Images Video Project (Organization)		Moving Images Video Project collection	"Mark Dworkin and Melissa Young began Moving Images in 1986 to tell the stories of ordinary people. Moving Images Video Project produces and distributes documentaries about war and peace, human rights, global justice, and protection for the environment. Founded by Young and Dworkin to increase understanding in the United States of political and social issues in Central America, Moving Images later expanded to address the AIDS epidemic, labor rights and childcare, international relations in the post cold-war era, implications of new genetic technologies, local food and farming, re-thinking our cities, and elements of a new economy that is more sustainable and just. Many of these programs have aired across North America on PBS, and they are widely distributed to schools, libraries, and community organizations. Text of organizational history derived from Moving Images website (http://movingimages.org)."																		
Musicians' Association of Seattle		"Musicians’ Association of Seattle, American Federation of Musicians Local 76-493 records"	"The Musicians’ Association of Seattle, American Federation of Musicians Local 76-493 is a labor union that represents musicians in Seattle; Vashon Island; Clallam, Grays Harbor, Jefferson, King, Kitsap, Kittitas, Mason, Island, Pierce, San Juan, Skagit, Thurston, and Whatcom counties; and parts of Pacific County. Local 76-493 has been a labor organization since 1890 and is led by elected officers and an elected board of directors.

Musicians’ unions began in Seattle in 1890 with the creation of the Seattle chapter of the Musicians Mutual Protective Union (MMPU) Local 76. MMPU Local 76 reorganized under the American Federation of Musicians (AFM) Local 76 in 1898 and represented white musicians. Non-white musicians were barred from joining AFM Local 76 so they formed a separate union, AFM Local 458. Tension between the two unions resulted in the international union revoking Local 458’s charter in April of 1924. However, Black and other musicians of color were able to charter a replacement union, Local 493, later that year. In 1958, Local 76 and Local 493 were amalgamated into Local 76, ending the racial segregation of musicians’ unions in Seattle. In 1994 the local’s name was changed to Local 76-493.

Previously distinct AFM locals in Western Washington became amalgamated under the jurisdiction of Local 76-493 between 1980 and 2010 including AFM Local 117, Tacoma; AFM Local 184, Everett; AFM Local 124, Olympia; AFM Local 236, Aberdeen; AFM Local 451, Bellingham; and AFM Local 461, Mount Baker/Anacortes.

Sources:

Blecha, Peter. ""AFM Local 493, Seattle's 'Negro Musicians' Union,' Holds Big Benefit Bash on May 29, 1951,"" February 20, 2013. http://www.historylink.org/File/10330.

Musicians’ Association of Seattle, American Federation of Musicians Local 76-493. ""About Us."" Musicians' Association of Seattle, February 28, 2017. https://local76-493.org/about-us/."																		
National Marine Engineers' Beneficial Association (U.S.)		National Marine Engineers' Beneficial Association records	"A National Maritime Labor organization. Throughout the 1920s, MEBA experienced a sharp decline in its membership. From about 22,000 in 1920 to 5,000 in 1934. In spite of this, during the period between World War I and World War II it was successful in raising wages, lowering working hours, and establishing the union hiring hall."																		
"Nelson, Lonnie, 1932-2014"		Lonnie Nelson papers	"Lonnie Nelson was born in Seattle Aug. 20, 1932, and named Madelon Sue by her parents Alma Viola Nickerson Nelson and Burt Gale Nelson. Her father was a founding member of the International Longshore and Warehouse Union and a leader of the Communist Party of Washington State.

In high school in 1948 she organized Young Progressives and was active in the Progressive Party campaign of Henry Wallace. She joined the Communist Party in 1951 at a time when CP members, including her father, were being blacklisted and harassed by the FBI.

She gathered signatures on the Stockholm Peace Appeal in the 1950s when Cold War elements were itching for war against the Soviet Union or China. That commitment to world peace continued in the years of solidarity with Cuba and Vietnam when she helped mobilize peace protests.

She was especially proud of a trip she took to Spain where veterans of the Abraham Lincoln Brigade, including her uncle, were honored as fighters against Franco fascism.

Nelson served as chairperson of a petition campaign against the McCarthy-era loyalty oath, which in 1972 presented 10,000 signatures to the state attorney general in Olympia. Later, she served on a committee defending the Black Panther Party.

An admirer of the Native American Indian people, she joined in the campaign to win restoration of the tribes' fishing rights. She befriended many of the Native American Indians in that struggle, working closely with Maiselle Bridges, a leader of the Nisqually tribe. Victory was won when Judge George Boldt handed down his landmark ruling 40 years ago that the tribes were entitled to half the salmon catch.

Her love of the Indian peoples and their struggles led her to join the ""Trail of Broken Treaties"" to Washington, D.C., in 1972, when the American Indian Movement occupied the Bureau of Indian Affairs headquarters. She helped raise funds for the legal defense of the occupiers. She knew Hank Adams and other Native American Indian leaders personally and interviewed them for articles in the Daily World during that sit-in.

Lonnie Nelson's first love was always the labor movement. During her working years, she was employed at a day care center at Providence Hospital for nearly six years. She worked to organize the workers into SEIU Local 6. She helped establish the Seattle branch of the Coalition of Labor Union Women (CLUW), heading up the CLUW Public Works Jobs Committee.

She was arrested three times for civil disobedience: during the Indian fishing rights struggle, against South African apartheid, and in the mid-1990s against Republican Newt Gingrich's ""Contract on America"" Medicare cuts.

(Source: People's World obituary for Lonnie Nelson by Tim Wheeler 02/14/14 http://www.peoplesworld.org/labor-stalwart-lonnie-nelson-dies-at-8/)"																		
"Neylan, Mickey"		Mickey Neylan papers	"Employee of the International Typographical Union Local #202, Seattle. Her brother was Harry E.B. Ault."																		
Harvey O'Connor	Q5892608	Harvey O'Connor papers	Political activist.																		
"Office and Professional Employees International Union. Local 23 (Tacoma, Wash.)"		"Office and Professional Employees International Union, Local 23 records"	Office and Professional Employees Local 23 represented workers in the Tacoma area until the organization merged into OPEIU Local 8 of Seattle in 2015.																		
"O'Reilly, Claude"		Claude O'Reilly Scrapbook of American Federation of Labor Annual Convention in Seattle	"Claude O'Reilly was the chairman of the American Federation of Labor annual convention in Seattle, Washington, on October 6-18, 1941."																		
"Office and Professional Employees International Union. Local 8 (Seattle, Wash.)"		"Office and Professional Employees International Union, Local 8 records"	Local 8 represents clerical and office workers of a wide variety of businesses around Puget Sound. Name of parent body changed from Office Employes International Union to Office and Professional Employees International Union in 1966.																		
"Olson, David J., 1941-2012"		David Olson papers	"University of Washington professor of political science, founding chair of the Harry Bridges Center for Labor Studies, scholar on urban and labor politics.

David Olson (Ph.D., University of Wisconsin) was Professor Emeritus of Political Science and the Harry Bridges Endowed Chair Emeritus in Labor Studies. He researched state, urban and labor politics in the United States. He was the co-author or co-editor of Black Politics: The Inevitability of Conflict (Holt, Rinehart and Winston) Theft of the City: Readings in Corruption in Urban America (Indiana), Commission Politics: The Processing of Racial Crisis in America (Trans-Action Books), Governing the United States (McGraw Hill), and To Keep The Republic (McGraw Hill). He also published numerous articles on urban politics, state politics, political violence, seaport politics, congestion pricing, living wage campaigns, term limits, and labor politics. In 2005 he received the S. Sterling Munro Public Service Teaching Award and in 2007 was named the inaugural Distinguished Civic Educator Award by the Washington State Senate. In 2006 Olson was knighted by the King of Norway as knight of the first class, order of merit for contributions to US/Norway scholarly exchange relations.

Outside the University, Olson advised or served as a consultant to various state, county, and municipal governments as well as community groups and the Ford Foundation on subjects ranging from evacuation under radiological emergency, to seaport organization, to publicly owned railroads, to political primary systems, to transportation organization, to trade union contract disputes.

David Olson died on Sept. 15, 2012."																		
Seattle Opportunities Industrialization Center		Opportunities Industrialization Center records	"OIC Seattle (often refered to locally as ""SOIC"") was incorporated in May 1966 as a private, nonprofit community-based vocational training center. It was founded as an outgrowth of the OIC movement which had been started two years earlier in Philadelphia. In 1972, OIC Seattle became the first community-based organization to receive federal designation as a Skills Center. Its rapid growth and expanding programs made possible the building of a multi-million dollar training center dedicated in 1974. OIC Seattle's diversified funding and its accreditation saved the school from the financial collapse experienced at the beginning of the 1980s by many similar institutions, but it could not survive the federal government's rapid and drastic cutback of funding around 1983 and 1984. It attempted to continue its services by totally reorganizing its service delivery system. Efforts continued another two years but on September 25, 1986, a Chapter 11 bankruptcy notice was filed."																		
Pacific Coast Pensioners Association		Pacific Coast Pensioners Association photographs	"The Pacific Coast Pensioners Association was formed in 1968 to provide unity and direction to ILWU retirees, and to represent the pensioners and their local unions in contract negotiations and with Social Security."																		
Pacific Northwest Labor History Association		Pacific Northwest Labor History Association records	"The Pacific Northwest Labor History Association (PNLHA) is a non-profit association dedicated to preserving the history and heritage of workers in the Pacific Northwest. It considers the “Pacific Northwest” to be British Columbia, Oregon and Washington.

Members of the PNLHA include trade unionists, students, academics, and others who share an interest in the history and heritage of workers in the pacific northwest region. The PNLHA believes the labor movement must know where it’s been to know where it’s going. It depends exclusively on memberships to sustain its activities.

Adapted from the ""About"" section of the PNLHA website (https://pnlha.wordpress.com/about-2/ ) on 3/16/2016"																		
"Palmer, Douglas Shaw"		Douglas Shaw Palmer manuscript on Sidney Gerber	Douglas Shaw Palmer was a Seattle attorney who wrote an unpublished manuscript about Sidney Gerber.																		
"Parks, Norman B."		Norman Parks papers	"Norman Parks is a retired secretary-treasurer of Portland ILWU Local 8 and a longtime negotiator of west coast longshore contracts, he obtained the coins in his role as local 8 officer in 1979."																		
"Parry, Will (Labor activist)"		Will Parry papers	"Will Parry was a labor activist in King County, Washington. From 1977 to 1978, Parry and Ross Rieder, of the Washington State Labor Council, organized King County unions to assist workers in picketing automobile dealerships. The strikes were in reaction to a growing trend among the dealerships to open their shops to non-union work. Parry and Ross paired again to organize the Washington State delegation of union members and supporters for Solidarity Day -- a rally against the Reagan administration initiated by the AFL-CIO Executive Council and held in Washington, D.C., on September 19, 1981."																		
Pierce County Central Labor Council (Wash.)		Pierce County Central Labor Council records	"The Tacoma Trades Council was organized in 1890 as an independent organization. It was dormant March, 1895 until November, 1899 when it affiliated with the American Federation of Labor. After it was dissolved in September, 1907, a new body, the Tacoma Central Labor Council, was chartered by the AFL in November, 1907. The records of the Tacoma Trades Council were turned over to the Central Labor council at this time. As a result of the AFL-CIO merger the Tacoma Central Labor Council (AFL) and the Pierce County Industrial Union Council (CIO) merged to form the Pierce County Central Labor Council in December, 1957. In 1909 the Central Labor Council established its newspaper, the ""Tacoma Labor Advocate,"" which was published until 1978."																		
"Pitharoulis, Cae"		"Cae Pitharoulis Manuscript and Computer Discs of ""A Personal Report"""																			
Puget Sound Advocates for Retirement Action		Puget Sound Advocates for Retirement Action records	"The Puget Sound Alliance for Retired Americans (PSARA) is a Seattle-based branch of the Alliance for Retired Americans. Founded in 1981, PSARA affiliated with the national Alliance of Retired Americans in 2001.

In 2002, the organization changed its name to the Puget Sound Council of Senior Citizens. The organization changed its name again in June of 2012 to the Puget Sound Advocates for Retirement Action and disaffiliated with the national Alliance of Retired Americans. The organization still works in close coordination with the Washington State Alliance of Retired Americans."																		
RIDGE (Organization)		RIDGE records	"RIDGE was a community organization in Roslyn, Washington formed in 1988. Ellie Belew and Douglas Kilgore were leaders of the organization, which engaged in activism around forestry and land use issues during the late 1980s and into the early 2010s. RIDGE partnered with labor groups-- especially the building trades unions-- in a long fight to block the development of what is now the Suncadia Resort, the first Master Planned Resort in Washington State. Master Planned Resort [MPR] is a type of zoning distinction defined by the Washington State Growth Management [GMA] Act. MPRs are self-contained and fully integrated planned unit developments, in a setting of significant natural amenities, with primary focus on destination resort facilities consisting of short-term visitor accommodations associated with a range of developed on-site indoor or outdoor recreational facilities. The plan allows urban development outside of urban areas and connection to municipal wastewater connections but requires the MPR to be separated from surrounding communities.

RIDGE used a variety of tactics to attempt to block Suncadia’s development including: litigation, land use mapping, water rights, community meetings, and zoning changes. Later, RIDGE engaged with Futurewise to litigate and organize for reforms to the Kittitas County Comprehensive Plan. RIDGE dissolved in 2014.

RIDGE members warned of the negative environmental and economic effects typical of the boom and bust cycles of logging on local economies. The boom and bust cycle of a town dominated by a major extractive industry was a familiar cycle in Roslyn, founded in 1886 as a mining company town initiated and platted by the Northern Pacific Coal Company, a subsidiary of the Northern Pacific Railway. The last mine closed in Roslyn in 1963, and the bust contributed to an economic downturn and population decline. After the loss of mining jobs, the town’s demographics were largely composed of retired mining families and older white people who moved to Roslyn to complete tree-planting contracts.

RIDGE’s connection to labor organizing is unique among other environmental groups of the time. RIDGE challenged the notion that extractive economy workers and environmentalists have competing interests, and instead sought to harmonize the need for a sustainable forest economy among workers and those concerned with the environment. RIDGE joined a coalition with the building trades unions after Suncadia expressed interest in bringing in open shop contractors to build the resort and that they had no intention of utilizing a responsible contract. Once it was evident Suncadia was going to be built despite efforts to block the development, the coalition fought for and obtained a pledge for employing union workers in its construction. The organization’s leaders also have strong ties with the labor movement. Doug Kilgore is connected to the labor movement in Washington State, and Ellie Belew has researched and authored several books in collaboration with labor unions and labor activists.



Source: 

Source: 

Source: "																		
Radical Women	Q7280468	Radical Women National Office (Seattle) records	"Radical Women (RW) is a socialist feminist organization. RW sought to become the socialist wing of the feminist movement. The organization was founded in Seattle in 1967 when Freedom Socialist Party co-founder Clara Fraser and her close colleague, Gloria Martin, joined with young women from Students for a Democratic Society to build women's leadership in the left and anti-war movements. In 1973, RW formally affiliated with the Freedom Socialist Party, and the party gained a sister organization. Other founding members include Melba Windoffer and Susan Stern.

RW is active in intersectional feminist socialist organizing against racism, sexism, homophobia, fascism, and labor exploitation. Their political analysis sees women's political action as essential in creating social change and trains women to lead these campaigns. They have been especially active in pressuring other feminist organizations into better representing women of color and the LBGTQ+ community."																		
Radical Women. Seattle Office		Radical Women Seattle Office records	"Radical Women (RW) is an all women organization dedicated to ""exposing, resisting and eliminating the inequities of women's existence by providing women the leadership skills, social history, and working-class consciousness that they were denied in the male-dominated antiwar, antipoverty and civil-rights movements."" RW was founded in Seattle in 1967 when the Freedom Socialist Party co-founder Clara Fraser and her close colleague, Gloria Martin, joined with young women from Students for a Democratic Society to build women’s leadership in the left and anti-war movements. RW also sought to become the socialist wing of the feminist movement. In 1973, it formally affiliated with the Freedom Socialist Party, and the party gained a sister organization. Other founding members include Melba Windoffer and Susan Stern.

RW was active in anti-Vietnam War protests, labor issues, gay rights, women’s rights in the workplace, divorce reform, and other issues that affect oppressed peoples. They are an organization that does intersectional organizing against racism, sexism, homophobia, and labor exploitation. RW's political analysis sees women's leadership and political action as decisive to social change and trains women to lead in these campaigns."																		
"Ranta, Toivo"		Toivo Ranta photographs and papers	"Toivo Ranta worked as a commercial fisherman from the 1930s through the 1950s. Ranta and his brother emigrated from Finland to join their father in Alaska working summers for the Alaska Packers’ Association and Libby, McNeill and Libby. Both companies manufactured and packaged canned salmon. Ranta worked as a fisherman during the early days of commercial salmon fishing in the Pacific Ocean, off the coast of Washington, Canada, and Alaska. He also worked during the transition from the industry being fleets of smaller sailing ships to larger ships with internal combustion engines. Ranta left the fishing industry during this transition and his family started a plywood mill in Port Angeles, Washington to replace fishing as their main economic activity."																		
"Retail Clerks International Protective Association. Local 186 (Enumclaw, Wash.)"		Retail Clerks International Protective Association minutes																			
"Rice, Rick, 1940-"		Rick Rice papers	"Richard ""Rick"" Rice was born in 1940 and grew up in Huntington Beach, California. Rice attended the University of California at Berkeley before moving to New York City and then to Seattle in the early 1970s. Rice was active in the student, anti-war, and civil rights movements of the 1960s and 1970s.

Rice worked as a bus driver for Metro Transit for four years, where he was an active union member and a member of a rank-and-file caucus committe. Rice participated in a Metro Transit strike in 1974. During the 70s and 80s, Rice was an activist in several local organizations such as Committee for Solidarity with the People of El Salvador (CISPES), the Venceremos Brigade, and the Anti-Apartheid movement. Rice participated in weekly protests in front of the South African consulate in Seattle during this period.

His wife, Roselynn Harrell (also known as Rose Woodward) was also a Seattle metro driver and a social and labor activist. Harrell was involved in South Seattle Community College's Women's Employment Network and was a welder. Rice and Harrell worked for two years at a Uniroyal and Firestone tire plant in Long Beach California in an effort to organize it politically as an outgrowth of their activism as members of the socialist organization Line of March. Line of March was a Marxist-Leninist organization that inspired many New Left student activists to become ""proletarianized"" workers who would find work in industry and radicalize other workers.

During the 1990s, Rice was active in the Seattle area efforts to create a Labor Party and attended conferences on behalf of the effort. Rice's second wife, Kate Thompson is an artist and an activist. Thompson was a co-founder and co-owner of Storefront Press in Seattle. As of 2014, Rice lives in Mexico."																		
"Rieder, Ross K."		Ross Rieder Audio and Video Collection	"Ross Rieder is a union activist, labor historian, and preservationist. Rieder served as president of the Pacific Northwest Labor History Association for 37 years from 1978 to 2015, and remains a member and active supporter of the PNLHA. Before retiring, Rieder was a music teacher and a member of the Everett American Federation of Teachers local union. Rieder also worked for the the Snohomish County Central Labor Council and Washington State Federation of Labor. Other achievements by Rieder during his career in labor include his co-leadership (with Will Parry) of a Washington State Labor Council campaign in 1978-1979 to assist King County unions to organize workers in picketing automobile dealerships in reaction to a growing trend among the dealerships to open their shops to non-union work.

Parry and Ross paired again to organize the Washington State delegation of union members and supporters for Solidarity Day -- a rally against the Reagan administration initiated by the AFL-CIO Executive Council and held in Washington, D.C., on September 19, 1981. Later, Rieder co-hosted a labor radio show on KSER (Everett) called ""Part of the Union"" between and served as president of the AFT retiree chapter in Washington."																		
"Rivera, Guillermo"		"Guillermo ""Memo"" Rivera collection of SEIU 775 and Working Washington records"	"Guillermo ""Memo"" Rivera is Deputy Organizing Director for Service Employees International Union, Local 775. He collected this binder of materials that relate to SEIU 775's involement with the effort to raise the minimum wage in SeaTac to $15 an hour, get labor-friendly council members elected and voters registered, and organize port and airport workers. Rivera became an organizer for Local 775 in 2005, and his involvement with organizing at the airport and SeaTac on workers' issue began in 2001 with SEIU's ""Fight for a Fair Economy Campaign."" This went from a broad-based door-knocking campaign to hear abour workers' issues to meetings with airport workers in 2012. Rivera served as the field director on that campaign, and was also involved in the SeaTac Mimimum Wage Proposition 1 campaign in 2013."																		
"Robin, Joshua"		Joshua Robin papers	Newspaper reporter for the Seattle Times and a member of the Pacific Northwest Newspaper Guild.																		
"Rojo, Trinidad"		Trinidad Rojo papers	"Filipino author, sociologist, labor union official. Rojo was a president of ILWU No. 7. He was a student at the University of Washington and at Stanford, where he was a research fellow."																		
"Rosenblum, Jonathan, 1961-"		Jonathan Rosenblum papers	Jonathan Rosenblum is a political planner and labor organizer for local and regional campaigns.																		
"Schwantes, Carlos A., 1945-"		Carlos A. Schwantes papers																			
Tyree Scott	Q7861471	Tyree Scott papers	"Tyree Scott (1940-2003) was a labor leader and activist deeply involved in many minority workers’ and equal opportunity organizations.

Scott, an electrician, grew up in Texas, moved to Seattle in 1966 and became a leader in the Central Contractors Association. This organization of minority workers led many peaceful demonstrations against discriminatory hiring practices in Seattle’s construction industry in the summer and fall of 1969. Through the protests, the issue of discriminatory employment was noted by the American Friends Service Committee. After investigating the situation, the American Friends Service Committee approached Scott and the leadership of the Central Contractors Association and proposed a new community-based organization that would organize minority workers to fight discrimination in the unions and in the construction trades. The United Construction Workers Association was founded in 1970 with financial support from the American Friends Service Committee. Tyree Scott was a founding member and worked intensively within the Association, first as a paid staff member and then later as a director.

United Construction Workers Association combined community organization, peaceful demonstrations, and legal action to fight workplace discrimination. The Association saw an early victory in the class action suit United States vs. Ironworkers Local 86 et. al. – in which the United States Department of Justice sued five local unions and apprenticeship and training committees under Title VII of the 1964 Civil Rights Act. In 1970 Judge William J. Lindberg found that there had indeed been racial discrimination in the practices of all institutions named in this case. He ordered wide-ranging relief programs, including quotas for union membership, hiring, and apprenticeship classes and changes in hiring and dispatching procedures.

Judge Lindberg’s ruling also created the Court Order Advisory Committee – a private institution that would ensure the implementation of these relief measures. The Court Order Advisory Committee collected data and published reports on industry employment practices. The United Construction Workers Association had two members on Court Order Advisory Committee board of directors; Tyree Scott served as one of these representatives from 1972 to 1978. The Court Order Advisory Committee was reformed as the Vocational Exploration and Referral Service Center in December of 1978.

In 1972 United Construction Workers Association was also made party to the United States vs. Local 86 suit, which allowed them to participate officially in the enforcement of the court decrees. United Construction Workers Association collected reports of employment progress in local trades and continued to pursue legal action against companies defaulting on the requirements of the court settlement.

By court decree, United Construction Workers Association also became the point of entry for apprenticeship programs. United Construction Workers Association assisted workers with job application processes, offered extra training for apprenticeship classes, and served as a liaison between workers, unions and employers. The United Construction Workers Association also worked with civil and community institutions, including the United States Equal Employment Opportunity Commission, the Washington State Manpower and Planning Council, various Seattle city agencies, the Seattle Urban League and others.

After the landmark Lindberg decision, United Construction Workers Association also began to widen its focus beyond minority work in the local building trades to other areas of employment in Seattle and other cities across the nation. In 1973 a branch of United Construction Workers Association was established in Oakland, California.

United Construction Workers Association also initiated the Southwestern Workers Federation, based in Little Rock, Arkansas, in 1973. Two United Construction Workers Association staff members - Tyree Scott and Todd Hawkins - visited eight cities in Arkansas, Louisiana, Oklahoma and Texas under contract from the Equal Employment Opportunity Commission to help minority worker activists organize further and to help them draw together legal resources to file Title VII complaints.

In 1973 Michael Woo of the United Construction Workers Association worked among Asian and Alaska Native cannery workers who lived in Seattle but worked summers in the salmon processing plants in Alaska. From this work the Alaska Cannery Workers Association was formed to combat discrimination in worker housing, facilities, pay scales and hire status. The Alaska Cannery Workers Association filed Title VII lawsuits against the world’s largest fish companies, including the New England Fish Company and Wards Cove Packing Company.

In 1973 members of United Construction Workers Association, Alaska Cannery Workers Association, and the Northwest Chapter of United Farm Workers of America came together to found the Labor and Employment Law Office. Labor and Employment Law Office hired lawyers and served workers of color, helping them pursue legal recourse in issues of labor discrimination. Labor and Employment Law Office helped United Construction Workers Association, Alaska Cannery Workers Association, United Farm Workers of America, other worker’s organizations and individual workers win landmark civil rights cases, including Domingo vs. New England Fish Company, Carpenter vs. NEFCO-Fidalgo Packing Company and Yates vs. Local 7 Asbestos Workers, et al.

While Labor and Employment Law Office had always combined its legal work with participation in community organization, the focus was primarily on court action in the early years of its operation. However, in 1989 the Supreme Court’s decision in the long-contested Atonio vs. Ward’s Cove case constituted a major shift in the pursuit of discrimination cases and in Labor and Employment Law Office’s operations. Ever since the landmark civil rights suits of the early 1970s, the burden of proof in discrimination charges had rested on the employers. In the Wards Cove case, the Court’s decision was that the plaintiffs’ statistical demonstration of racial disparity between classes of workers did not make a prima facie case for violation of Title VII of the Civil Rights Act. This set a new precedent for the burden of proof in Civil Rights cases and vastly increased the difficulty of workers pursuing discrimination charges under Title VII.

As pursuing court action as an avenue for change became more difficult, Labor and Employment Law Office’s focus and activities opened to a broader spectrum. Labor and Employment Law Office shifted its emphasis to offering other types of assistance to low-income, minority and workers’ groups both locally and across the globe. Tyree Scott has served on the board of directors of Labor and Employment Law Office since its inception.

In the late 1970s Scott, Scott’s wife Beverly Sims and Michael Woo were members of the Seattle Workers Group, which in turn was associated with the Organizing Committee for an Ideological Center. The Center was an umbrella group that coordinated the activities of various Marxist workers organizations across the country. The purpose of the Center was both to support local Marxist groups in their effort to organize and educate workers locally, but also to bring together disparate groups across the nation into a more ideologically and structurally unified whole. The Center’s long-term goal was to build a national Labor/Workers Party. The organization disbanded about 1981.

Tyree Scott became less involved in the activities of the United Construction Workers Association in the late seventies, and the organization faded out of existence around 1981. Tyree Scott retired from the electrician’s trade and remained active as a board member for the Labor and Employment Law Office until his death in 2003."																		
Labor Archives of Washington	Q22096098	SeaTac Seattle Minimum Wage History Project records	"The SeaTac Seattle Minimum Wage History Project is a research, archival documentation, and oral history project co-directed by University of Washington political science professor Michael McCann and University of Washington labor archivist Conor Casey.

Beginning in 2015, the project members--McCann, Casey, and graduate and undergraduate students at the University of Washington--collected articles about the SeaTac and Seattle camaigns and then peformed dozens oral history interviews. As well, some hard copy archival collections were collected for the Labor Archives of Washington, websites were archivally captured, and some materials were digitized relating to the campaigns.

The resulting "																		
"Searles, Gordon"		Gordon Searles collection on Washington State Printers' lockout	"Gordon Searles was a printer and union member and president of the Olympia chapter of the International Typographical Union, Local 142."																		
Seattle Civil Rights and Labor History Project	Q7442083	Seattle Civil Rights and Labor History Project records	"The Seattle Civil Rights and Labor History Project, based at the University of Washington under the direction of Professor James Gregory, is a multi-media website dedicated to documenting the Pacific Northwest’s multiracial labor and civil rights history. It offers over 1000 primary documents and photographs, over 70 video oral histories, original research essays produced by undergraduate and graduate students, short films, slideshows, historical overviews and bibliographic guides. The project is a rich web-based resource designed to provide teachers, students, community members and researchers with information about Washington’s past."																		
Seattle Education Association		Seattle Education Association records	"The Seattle Teachers’ Association, or STA, was established in 1958 with the merger of the Seattle Association of Classroom Teachers and the Seattle Grade Teachers’ Club.

The STA was affiliated with the Washington Education Association (WEA) and the National Education Association (NEA), although this affiliation was stronger in the first decade of the STA than in the period covered by this collection.

The STA worked with the WEA to pass the Professional Negotiations Act, or State of Washington Chapter 143 Law of 1965 (amended in 1969). 

The STA united with the Seattle Federation of Teachers (SFT) on several strikes and protests. However, much of the time the STA and SFT competed, and the amicability of these relations fluctuated over the years. The SFT often took a more aggressive position when bargaining, perhaps putting pressure on the STA to increase its own activity.

Over the years covered by this collection, the STA was consistently concerned with issues of members’ salaries, rights, employment, district funding, school curriculum, and the de-facto racial segregation of schools. 

For a history of the organization between 1958 and 1970, see the finding aid for the 

The 1970s was a time of increased grassroots teacher involvement in the STA. The organization became more assertive and staged several strikes. 

With the 1980s, the STA faced new difficulties. House Bill 166 passed in 1981 and limited the ability for the STA to negotiate teacher salaries, as it mandated that Seattle educators could not attempt to negotiate a higher pay schedule than their counterparts in other regions of the state. 

"																		
"Seattle Teachers' Association (Seattle, Wash.)"		Seattle Teachers' Association records	"The Seattle Teachers’ Association or STA was formed with the 1958 merger of the Seattle Association of Classroom Teachers and the Seattle Grade Teachers’ Club. The plans for this unification had been in the works for nearly ten years, and it produced the largest schoolteacher organization in Washington State, with 2,500 members. The STA was formed to represent the collective bargaining rights of teachers in Seattle Public School District No. 1., with the objective of developing “public understanding of the objective of education, promote its goal, and encourage the professional growth of association members.” Over the years, the organization began to focus on the welfare of its members and became more strident in its advocacy efforts.

The STA was affiliated with the Washington Education Association (WEA) and the National Education Association (NEA).The STA also collaborated with the Local 609 and the Operating Engineers Union, two unions associated with building maintenance in Seattle Schools.

During much of the period covered by this collection, the STA had minimal bargaining and professional negotiating power. To gain leverage in this period, the STA used a variety of techniques: it pressured and courted individual local legislators, met with the school board and offered input, and commissioned and collected studies and reports to support the STA position. The STA also kept close ties to the WEA and NEA in this time period and used the resources and support of these larger, more established organizations. Much of the STA activities of this time period involved soliciting and sharing knowledge with the WEA, NEA, and other teacher organizations throughout the country. As a relatively new organization, the STA was mostly focused on accruing members and maintaining their participation. Therefore, much of the material in this collection deals with the day-to-day operations and organizing of the STA.

Yet at this time the STA did give attention to some specific issues. The STA was consistently concerned about issues of members’ salaries, rights, and employment, district funding, and school curriculum. Specific to the late 1950s and early 1960s, the STA particularly lobbied for teaching to be treated as a profession and, therefore, to be given the proper respect, resources, and salaries. The STA also supported local levies, appealings to voters and gain electoral support. This strategy was at its height in the early 1960s. At the same time, the STA argued that the levy system was only a band-aid and did not fundamentally address the salary issues. One other major issue of the time, particularly in the late 1960s, was the question of how to give a better education in Central Area schools, Washington Middle School, Meany Middle School, and Garfield High School. These schools suffered a variety of crises, particularly of student violence and protest, in the late 1960s. The STA was concerned with how to best aid the teachers in these schools, in giving them appropriate physical protection, emotional relief, and eventually alleviating the problems in the schools. Connected to this issue was that of school de-facto segregation, and the STA supported efforts to alleviate the racial segregation. Overall, the STA in this period was concerned largely with educator rights, but also with many related topics.

The STA began to take a more assertive tone during the later 1960s. For example, in 1967 president of the STA Pete Neuschwander declared that a proposed $15.7 million levy, the largest in Seattle history at the time, was “not enough.”

Much of this assertiveness, however, was probably in response to gaining negotiation power. The STA worked with the WEA to pass the Professional Negotiations Act, or State of Washington Chapter 143 Law of 1965 (amended in 1969). STA President Wes Ruff hailed it as a great step, stating, “‘The Seattle School Board, without a doubt, is one of the finest in the state…. But there is a difference between us making a half-hour ‘presentation’ and actually hammering things out in real negotiations…. The board, the decision-maker, owes itself the opportunity to have conversations with the practitioners in the field, the educators with knity-gritty information.’”

A large subgroup of this collection contains primarily WEA-produced materials. The WEA was formed “to promote the cause of education in the state of Washington.” It was affiliated with the NEA and the STA, but covered all teachers in the state. Many of these artifacts specifically deal with the WEA’s relationship with the STA, such as correspondence with STA leadership. For a history of the organization between 1970 and 1985, see the finding aid for the 

"																		
